Position,Candidate,Party,Votes,% Vote Share,Registered Votes,Valid Votes,Rejected  Votes,Turnout,constituency,Assembly,Year
3,Rao Safdar Ali Khan,IND,5045,5,247825,95515,2002,39%,NA-60 Faisalabad-IV,National,1997
4,Maj. (R) Abdul Basit,IND,4374,4,247825,95515,2002,39%,NA-60 Faisalabad-IV,National,1997
Winner,Mian M. Farooq,PML-N,69035,62,261622,108343,2219,42%,NA-61 Faisalabad-V,National,1997
2,Shahid Nazir Ahmad,PPP,36801,33,261622,108343,2219,42%,NA-61 Faisalabad-V,National,1997
3,Zahid Nazir,IND,1387,1,261622,108343,2219,42%,NA-61 Faisalabad-V,National,1997
4,M. Ijaz Virk Adv.,IND,511,0,261622,108343,2219,42%,NA-61 Faisalabad-V,National,1997
5,M. Naeem Tahir,IND,480,0,261622,108343,2219,42%,NA-61 Faisalabad-V,National,1997
6,Ch. M. Rasheed Randhawa,IND,129,0,261622,108343,2219,42%,NA-61 Faisalabad-V,National,1997
Winner,Raja Nadir Pervaiz Khan,PML-N,56853,68,214360,82298,1715,39%,NA-62 Faisalabad-VI,National,1997
2,Ch. Ghulam Mustafa Bajwa,PPP,22637,27,214360,82298,1715,39%,NA-62 Faisalabad-VI,National,1997
3,Gul Ijaz Ch.,PTI,863,1,214360,82298,1715,39%,NA-62 Faisalabad-VI,National,1997
4,Abdul Rahman Mughal,IND,606,1,214360,82298,1715,39%,NA-62 Faisalabad-VI,National,1997
5,Sohail Iqbal Bajwa,IND,481,1,214360,82298,1715,39%,NA-62 Faisalabad-VI,National,1997
6,Nisar Ahmad Gujjar,IND,433,1,214360,82298,1715,39%,NA-62 Faisalabad-VI,National,1997
7,Ch. M. Akram Randhawa,IND,425,1,214360,82298,1715,39%,NA-62 Faisalabad-VI,National,1997
Winner,Haji M. Akram Ansari,PML-N,62963,66,231411,94082,1020,41%,NA-63 Faisalabad-VII,National,1997
2,Haji Riaz Ahmad Ansari,PPP,29889,31,231411,94082,1020,41%,NA-63 Faisalabad-VII,National,1997
3,Musharaf Ali Khan Adv.,PTI,942,1,231411,94082,1020,41%,NA-63 Faisalabad-VII,National,1997
4,Pir M. Fazal Haq,JMP,154,0,231411,94082,1020,41%,NA-63 Faisalabad-VII,National,1997
5,M. Mukhtar Rana,IND,134,0,231411,94082,1020,41%,NA-63 Faisalabad-VII,National,1997
Winner,Ch. Sher Ali,PML-N,69782,71,241416,96937,1092,41%,NA-64 Faisalabad-VIII,National,1997
2,Sheikh M. Aslam Guchha,PPP,25242,26,241416,96937,1092,41%,NA-64 Faisalabad-VIII,National,1997
3,Imtiaz Naveed,PTI,1741,2,241416,96937,1092,41%,NA-64 Faisalabad-VIII,National,1997
4,Haji Khalid Saeed,PSL,172,0,241416,96937,1092,41%,NA-64 Faisalabad-VIII,National,1997
Winner,Mian Abdul Manan,PML-N,72840,65,281127,110635,1608,40%,NA-65 Faisalabad-IX,National,1997
2,Mehar Abdul Rashid,PPP,25652,23,281127,110635,1608,40%,NA-65 Faisalabad-IX,National,1997
3,Mumtaz Ali Cheema,IND,7729,7,281127,110635,1608,40%,NA-65 Faisalabad-IX,National,1997
4,Mian Khalid Sarfraz,PTI,2394,2,281127,110635,1608,40%,NA-65 Faisalabad-IX,National,1997
5,Ch. Hanif Ahmad Dogar,IND,1475,1,281127,110635,1608,40%,NA-65 Faisalabad-IX,National,1997
6,Kh. Atta-ur-Rehman,PPP-SB,309,0,281127,110635,1608,40%,NA-65 Faisalabad-IX,National,1997
7,Dr. Ahmad Saeed Khan,MJAH,236,0,281127,110635,1608,40%,NA-65 Faisalabad-IX,National,1997
Winner,Qaiser Ahmad Sheikh,IND,39272,38,250290,100649,3111,41%,NA-66 Jhang-I,National,1997
2,Syed M. Raza Shah,PML-N,19446,19,250290,100649,3111,41%,NA-66 Jhang-I,National,1997
3,Sardarzada Zafar Abbas Syed,PPP,14714,14,250290,100649,3111,41%,NA-66 Jhang-I,National,1997
4,Malik Ghulam Abbas Nissoana,IND,13390,13,250290,100649,3111,41%,NA-66 Jhang-I,National,1997
5,Sardar M. Ali Shah,IND,10870,10,250290,100649,3111,41%,NA-66 Jhang-I,National,1997
6,Malik Rab Nawaz Adv.,IND,836,1,250290,100649,3111,41%,NA-66 Jhang-I,National,1997
7,M. Ismail Bodhar Lali,IND,769,1,250290,100649,3111,41%,NA-66 Jhang-I,National,1997
8,Ch. Ahmad Khan Daoka,IND,533,1,250290,100649,3111,41%,NA-66 Jhang-I,National,1997
9,Hafiz M. Abu Bakar,MIP,461,0,250290,100649,3111,41%,NA-66 Jhang-I,National,1997
10,Malik M. Nazir Umer,PDP,239,0,250290,100649,3111,41%,NA-66 Jhang-I,National,1997
11,Hafiz Fazal Ahmad,JUI,119,0,250290,100649,3111,41%,NA-66 Jhang-I,National,1997
Winner,Molana Haji M. Rehmatullah,PML-N,52911,50,260023,102325,3255,41%,NA-67 Jhang-II,National,1997
2,Makhdoomzada Syed Asad Hayat,PPP,25165,24,260023,102325,3255,41%,NA-67 Jhang-II,National,1997
3,Mehar M. Nawaz Khan,IND,22681,21,260023,102325,3255,41%,NA-67 Jhang-II,National,1997
4,Ch. M. Khan Chaddar,PTI,1568,1,260023,102325,3255,41%,NA-67 Jhang-II,National,1997
Winner,Nawab Amanullah Khan Sial,PML-N,60490,53,276479,111079,3139,41%,NA-68 Jhang-III,National,1997
2,Molana M. Azam Tariq,MIP,44796,39,276479,111079,3139,41%,NA-68 Jhang-III,National,1997
3,Sahabzada Riaz-ul-Hassan,IND,2697,2,276479,111079,3139,41%,NA-68 Jhang-III,National,1997
4,M. Zahid,IND,1081,1,276479,111079,3139,41%,NA-68 Jhang-III,National,1997
5,M. Ali Sial,IND,649,1,276479,111079,3139,41%,NA-68 Jhang-III,National,1997
6,M. S. Fakhri,IND,619,1,276479,111079,3139,41%,NA-68 Jhang-III,National,1997
7,M. Ajmal Nawaz Naul,IND,415,0,276479,111079,3139,41%,NA-68 Jhang-III,National,1997
8,Abdul Ghafoor Jhangvi,IND,332,0,276479,111079,3139,41%,NA-68 Jhang-III,National,1997
Winner,Syeda Abida Hussain,PML-N,68577,57,272989,118835,2471,44%,NA-69 Jhang-IV,National,1997
2,Makhdoom Syed Faisal Saleh Hayat,PPP,44211,36,272989,118835,2471,44%,NA-69 Jhang-IV,National,1997
3,Molana Abdul Ghafoor Jhangvi,MIP,4344,4,272989,118835,2471,44%,NA-69 Jhang-IV,National,1997
4,Syed Abid Hussain Shah,IND,1703,1,272989,118835,2471,44%,NA-69 Jhang-IV,National,1997
Winner,Sahabzada M. Tahir Sultan,PML-N,70662,63,264360,109167,2397,42%,NA-70 Jhang-V,National,1997
2,Sahabzada M. Nazeer Sultan,PPP,33483,30,264360,109167,2397,42%,NA-70 Jhang-V,National,1997
3,Tajammul Hussain,IND,2158,2,264360,109167,2397,42%,NA-70 Jhang-V,National,1997
4,Mulazim Hussain Jafari,IND,1372,1,264360,109167,2397,42%,NA-70 Jhang-V,National,1997
5,Sardar Azhar Ali Maken,PTI,822,1,264360,109167,2397,42%,NA-70 Jhang-V,National,1997
6,Sahabzada Sultan Abdul Majeed,IND,670,1,264360,109167,2397,42%,NA-70 Jhang-V,National,1997
Winner,Ch. Asad-ur-Rehman,PML-N,77777,64,272214,118769,3500,45%,NA-71 Toba Tek Singh-I,National,1997
2,Khalid Ahmad Khan Kharal,PPP,32036,26,272214,118769,3500,45%,NA-71 Toba Tek Singh-I,National,1997
3,Rai Attiq-ur-Rehman,IND,3743,3,272214,118769,3500,45%,NA-71 Toba Tek Singh-I,National,1997
4,Ghulam Shabbir Khan,IND,2754,2,272214,118769,3500,45%,NA-71 Toba Tek Singh-I,National,1997
5,Ch. Ikram-ul-Haq,PTI,2016,2,272214,118769,3500,45%,NA-71 Toba Tek Singh-I,National,1997
6,Ch. M. Yusuf Javed,IND,443,0,272214,118769,3500,45%,NA-71 Toba Tek Singh-I,National,1997
Winner,Ch. Abdul Sattar,PML-N,66886,62,240373,104471,2619,45%,NA-72 Toba Tek Singh-II,National,1997
2,Ch. M. Ishfaq,PPP,29701,28,240373,104471,2619,45%,NA-72 Toba Tek Singh-II,National,1997
3,Abdul Rahman,PTI,2038,2,240373,104471,2619,45%,NA-72 Toba Tek Singh-II,National,1997
4,Ch. Abdul Sattar,IND,1848,2,240373,104471,2619,45%,NA-72 Toba Tek Singh-II,National,1997
5,Tanveer Aalam Mian Adv.,PML-J,1343,1,240373,104471,2619,45%,NA-72 Toba Tek Singh-II,National,1997
6,M. Hanif,IND,706,1,240373,104471,2619,45%,NA-72 Toba Tek Singh-II,National,1997
7,Mian M. Javed Iqbal,IND,621,1,240373,104471,2619,45%,NA-72 Toba Tek Singh-II,National,1997
8,A. G. Aadil,PPP-SB,596,1,240373,104471,2619,45%,NA-72 Toba Tek Singh-II,National,1997
9,M. Aslam,IND,325,0,240373,104471,2619,45%,NA-72 Toba Tek Singh-II,National,1997
10,Mian Manzoor Ahmad Adv. Mudeypuri,IND,210,0,240373,104471,2619,45%,NA-72 Toba Tek Singh-II,National,1997
11,Syed M. Ayub Shah,IND,197,0,240373,104471,2619,45%,NA-72 Toba Tek Singh-II,National,1997
Winner,Hamza,PML-N,43931,38,238890,113425,2637,49%,NA-73 Toba Tek Singh-III,National,1997
2,Ch. Amjad Ali Warraich,IND,39278,34,238890,113425,2637,49%,NA-73 Toba Tek Singh-III,National,1997
3,Haji M. Ishaq,PPP,23357,20,238890,113425,2637,49%,NA-73 Toba Tek Singh-III,National,1997
4,Mehar M. Sadiq,IND,4474,4,238890,113425,2637,49%,NA-73 Toba Tek Singh-III,National,1997
5,Hamza,IND,1195,1,238890,113425,2637,49%,NA-73 Toba Tek Singh-III,National,1997
6,Ch. Abdul Hameed Kahloon,PPP-SB,758,1,238890,113425,2637,49%,NA-73 Toba Tek Singh-III,National,1997
7,Mushtaq Ahmad Ishtiaq Dhaul,PTI,432,0,238890,113425,2637,49%,NA-73 Toba Tek Singh-III,National,1997
Winner,Col. Ghulam Sarwar Cheema,PML-N,68236,54,299373,122542,2784,42%,NA-74 Gujranwala-I,National,1997
2,Ch. Hamid Nasir Chattha,PML-J Chattha,45823,37,299373,122542,2784,42%,NA-74 Gujranwala-I,National,1997
3,Ch. Hassan Nawaz,PTI,2761,2,299373,122542,2784,42%,NA-74 Gujranwala-I,National,1997
4,Nasrullah Khan,IND,2492,2,299373,122542,2784,42%,NA-74 Gujranwala-I,National,1997
5,Adnan Sarwar Cheema,IND,1977,2,299373,122542,2784,42%,NA-74 Gujranwala-I,National,1997
6,Syed Safdar Hussain Rizvi,IND,407,0,299373,122542,2784,42%,NA-74 Gujranwala-I,National,1997
7,M. Fayyaz Chattha,IND,376,0,299373,122542,2784,42%,NA-74 Gujranwala-I,National,1997
8,Sabir Ali Ch.,IND,263,0,299373,122542,2784,42%,NA-74 Gujranwala-I,National,1997
9,Malik Abdur Rehman Sadiq,IND,207,0,299373,122542,2784,42%,NA-74 Gujranwala-I,National,1997
Winner,Afzal Hussain Tarar,PML-N,63925,50,305014,123951,3412,42%,NA-75 Hafizabad,National,1997
2,Ch. Mehdi Hassan Bhatti,PPP,51870,41,305014,123951,3412,42%,NA-75 Hafizabad,National,1997
3,Ch. Nazar Abbas Bhatti,IND,3144,2,305014,123951,3412,42%,NA-75 Hafizabad,National,1997
4,Shahadat Khan Bhatti,PTI,2453,2,305014,123951,3412,42%,NA-75 Hafizabad,National,1997
5,Malik M. Wazir Awan,IND,2001,2,305014,123951,3412,42%,NA-75 Hafizabad,National,1997
6,Mian Shahid Hussain Khan Bhatti,IND,558,0,305014,123951,3412,42%,NA-75 Hafizabad,National,1997
Winner,Ghulam Dastgir Khan,PML-N,64108,67,284420,94307,1013,34%,NA-76 Gujrnawala-III,National,1997
2,Ch. Khalid Humayun,PPP,27044,28,284420,94307,1013,34%,NA-76 Gujrnawala-III,National,1997
3,Naveed Anwar Naveed,PTI,2084,2,284420,94307,1013,34%,NA-76 Gujrnawala-III,National,1997
4,Raja M. Pervaiz Khan,IND,488,1,284420,94307,1013,34%,NA-76 Gujrnawala-III,National,1997
5,Ghulam Qadir Khan,IND,301,0,284420,94307,1013,34%,NA-76 Gujrnawala-III,National,1997
6,Qari M. Ikram,JUI-S,232,0,284420,94307,1013,34%,NA-76 Gujrnawala-III,National,1997
7,M. Siddiq Nadeem,IND,50,0,284420,94307,1013,34%,NA-76 Gujrnawala-III,National,1997
Winner,Ch. Mehmood Bashir Virk,PML-N,64729,65,267614,98583,1519,37%,NA-77 Gujrnawala-IV,National,1997
2,Kh. M. Aslam Lone,PPP,27751,28,267614,98583,1519,37%,NA-77 Gujrnawala-IV,National,1997
3,Khalid Zafar,PTI,2394,2,267614,98583,1519,37%,NA-77 Gujrnawala-IV,National,1997
4,M. Iqbal Khan Cheema,NPP,2150,2,267614,98583,1519,37%,NA-77 Gujrnawala-IV,National,1997
5,Ch. M. Zahid Javed,IND,647,1,267614,98583,1519,37%,NA-77 Gujrnawala-IV,National,1997
6,Rana Zahoor Ahmad Khan,PPP-SB,462,0,267614,98583,1519,37%,NA-77 Gujrnawala-IV,National,1997
7,M. Hussain,IND,234,0,267614,98583,1519,37%,NA-77 Gujrnawala-IV,National,1997
8,Kh. Khalid Aziz Lone,IND,216,0,267614,98583,1519,37%,NA-77 Gujrnawala-IV,National,1997
Winner,Rana Nazir Ahmad Khan,PML-N,69009,68,249854,100280,1619,41%,NA-78 Gujrnawala-V,National,1997
2,Ch. M. Abdullah Virk,PPP,21847,21,249854,100280,1619,41%,NA-78 Gujrnawala-V,National,1997
3,Ch. M. Boota,PTI,3734,4,249854,100280,1619,41%,NA-78 Gujrnawala-V,National,1997
4,Abdul Ghani,IND,2598,3,249854,100280,1619,41%,NA-78 Gujrnawala-V,National,1997
5,Ijaz Ahmad Al-Khas,PPP-ZAB,1157,1,249854,100280,1619,41%,NA-78 Gujrnawala-V,National,1997
6,Rana Zulqarnain Khan,HPG,463,0,249854,100280,1619,41%,NA-78 Gujrnawala-V,National,1997
7,Imtiaz Ahmad Virk,IND,428,0,249854,100280,1619,41%,NA-78 Gujrnawala-V,National,1997
8,Rana Sagheer Ahmad Khan,IND,384,0,249854,100280,1619,41%,NA-78 Gujrnawala-V,National,1997
9,Malik Mehdi Hassan Khan,PPP-SB,338,0,249854,100280,1619,41%,NA-78 Gujrnawala-V,National,1997
10,Taj Din Phullan Wali Sarkar,IND,322,0,249854,100280,1619,41%,NA-78 Gujrnawala-V,National,1997
Winner,Ch. Ijaz Ahmad,PML-N,58756,50,282875,114900,2570,42%,NA-79 Gujrnawala-cum-Hafizabad,National,1997
2,Ch. Liaqat Ali Warraich,IND,26985,23,282875,114900,2570,42%,NA-79 Gujrnawala-cum-Hafizabad,National,1997
3,Sardar M. Tariq Raza,PPP,21018,18,282875,114900,2570,42%,NA-79 Gujrnawala-cum-Hafizabad,National,1997
4,Gulzar Hussain,IND,3165,3,282875,114900,2570,42%,NA-79 Gujrnawala-cum-Hafizabad,National,1997
5,Ijaz Ahmad,IND,1256,1,282875,114900,2570,42%,NA-79 Gujrnawala-cum-Hafizabad,National,1997
6,Ghulam Rasool Ranjha Adv.,PTI,959,1,282875,114900,2570,42%,NA-79 Gujrnawala-cum-Hafizabad,National,1997
7,Alhaj Ch. M. Arshad Olakh,PPP-ZAB,627,1,282875,114900,2570,42%,NA-79 Gujrnawala-cum-Hafizabad,National,1997
8,Liaqat Ali,PPP-SB,499,0,282875,114900,2570,42%,NA-79 Gujrnawala-cum-Hafizabad,National,1997
9,Nisar Ahmad,IND,410,0,282875,114900,2570,42%,NA-79 Gujrnawala-cum-Hafizabad,National,1997
10,M. Abbas Warraich,IND,406,0,282875,114900,2570,42%,NA-79 Gujrnawala-cum-Hafizabad,National,1997
11,Ch. M. Nawaz Virk,IND,320,0,282875,114900,2570,42%,NA-79 Gujrnawala-cum-Hafizabad,National,1997
12,Muddasar Qayoom Nahra,IND,294,0,282875,114900,2570,42%,NA-79 Gujrnawala-cum-Hafizabad,National,1997
13,M. Nawaz Malhi,IND,205,0,282875,114900,2570,42%,NA-79 Gujrnawala-cum-Hafizabad,National,1997
Winner,Ch. Mubashir Hussain,PML-N,87144,59,333066,144212,3009,44%,NA-80 Gujrat-I,National,1997
2,Nawabzada Ghazanfar Ali Gul,PPP,50716,34,333066,144212,3009,44%,NA-80 Gujrat-I,National,1997
3,Dr. Syed Shaukat Hussain,PTI,2063,1,333066,144212,3009,44%,NA-80 Gujrat-I,National,1997
4,Dr. Zahoor Mehdi Faisal,KT,1587,1,333066,144212,3009,44%,NA-80 Gujrat-I,National,1997
5,Ch. Khalid Asghar Ghural,IND,1233,1,333066,144212,3009,44%,NA-80 Gujrat-I,National,1997
6,Ch. Irfan Ahmad Safi,IND,620,0,333066,144212,3009,44%,NA-80 Gujrat-I,National,1997
7,M. Ashraf,IND,491,0,333066,144212,3009,44%,NA-80 Gujrat-I,National,1997
8,Afrasiab Zafar,IND,358,0,333066,144212,3009,44%,NA-80 Gujrat-I,National,1997
Winner,Ch. Shujaat Hussain,PML-N,86903,61,334400,138409,3460,42%,NA-81 Gujrat-II,National,1997
2,Ch. Ahmad Mukhtar,PPP,41126,29,334400,138409,3460,42%,NA-81 Gujrat-II,National,1997
3,Ch. Tariq Akram,IND,3444,2,334400,138409,3460,42%,NA-81 Gujrat-II,National,1997
4,Ch. Afzaal Anwar,PTI,2992,2,334400,138409,3460,42%,NA-81 Gujrat-II,National,1997
5,Ch. Ajmal Ali Khawar,IND,2135,2,334400,138409,3460,42%,NA-81 Gujrat-II,National,1997
6,Syed Shaukat Kamal Adv.,PPP-SB,657,0,334400,138409,3460,42%,NA-81 Gujrat-II,National,1997
7,Abdul Malik Rehmani,IND,530,0,334400,138409,3460,42%,NA-81 Gujrat-II,National,1997
8,Alhaj Mirza Saeed Baig,AQP,426,0,334400,138409,3460,42%,NA-81 Gujrat-II,National,1997
9,Mirza Atta-ur-Rehman,HPG,196,0,334400,138409,3460,42%,NA-81 Gujrat-II,National,1997
Winner,Syed Manzoor Hussain Shah,PML-N,88093,56,356993,152470,3538,44%,NA-82 Gujrat-cum-Jhelum,National,1997
2,Haji M. Asghar,PPP,44490,29,356993,152470,3538,44%,NA-82 Gujrat-cum-Jhelum,National,1997
3,Ch. M. Farooq,PML-J,9928,6,356993,152470,3538,44%,NA-82 Gujrat-cum-Jhelum,National,1997
4,Shahnaz Ahmad,IND,3657,2,356993,152470,3538,44%,NA-82 Gujrat-cum-Jhelum,National,1997
5,Arshad Dad,PTI,3547,2,356993,152470,3538,44%,NA-82 Gujrat-cum-Jhelum,National,1997
6,Irfan Saleem of Nandowal,IND,877,1,356993,152470,3538,44%,NA-82 Gujrat-cum-Jhelum,National,1997
7,Syed Noor-ul-Hasan Shah,IND,746,0,356993,152470,3538,44%,NA-82 Gujrat-cum-Jhelum,National,1997
8,Qamar Zaman,IND,520,0,356993,152470,3538,44%,NA-82 Gujrat-cum-Jhelum,National,1997
9,Sheikh Qamar-uz-Zaman,IND,506,0,356993,152470,3538,44%,NA-82 Gujrat-cum-Jhelum,National,1997
10,Ch. Ayyaz Ahmad,IND,106,0,356993,152470,3538,44%,NA-82 Gujrat-cum-Jhelum,National,1997
Winner,Mumtaz Ahmad Tarar,PML-N,64233,51,310027,122466,3004,40%,NA-83 Mandi Bahauddin-cum-Gujrat,National,1997
2,Zafarullah Tarar,PPP,35104,28,310027,122466,3004,40%,NA-83 Mandi Bahauddin-cum-Gujrat,National,1997
3,Syed M. Mehfooz Shah,IND,14033,11,310027,122466,3004,40%,NA-83 Mandi Bahauddin-cum-Gujrat,National,1997
4,Masood Ahmad,IND,3131,2,310027,122466,3004,40%,NA-83 Mandi Bahauddin-cum-Gujrat,National,1997
5,Ch. Ghulam Rasool Adv.,IND,2948,2,310027,122466,3004,40%,NA-83 Mandi Bahauddin-cum-Gujrat,National,1997
6,Farat Hafeez Sabazwari,PPP-ZAB,1509,1,310027,122466,3004,40%,NA-83 Mandi Bahauddin-cum-Gujrat,National,1997
7,Maj. Sher M. Gondal,IND,864,1,310027,122466,3004,40%,NA-83 Mandi Bahauddin-cum-Gujrat,National,1997
8,Munawar Hussain Tarar,IND,644,1,310027,122466,3004,40%,NA-83 Mandi Bahauddin-cum-Gujrat,National,1997
Winner,M. Iqbal Bosal,PML-N,56292,57,266188,95904,2517,37%,NA-84 Mandi Bahauddin,National,1997
2,Nazar M. Gondal,PPP,30749,31,266188,95904,2517,37%,NA-84 Mandi Bahauddin,National,1997
3,Umar Hayat Laleka,IND,3478,4,266188,95904,2517,37%,NA-84 Mandi Bahauddin,National,1997
4,Haji M. Afzal,IND,2184,2,266188,95904,2517,37%,NA-84 Mandi Bahauddin,National,1997
5,Ch. Faiz Ahmad Adv.,PTI,1143,1,266188,95904,2517,37%,NA-84 Mandi Bahauddin,National,1997
6,Ch. M. Nawaz Bosal,IND,1074,1,266188,95904,2517,37%,NA-84 Mandi Bahauddin,National,1997
7,M. Aslam Zouq,IND,984,1,266188,95904,2517,37%,NA-84 Mandi Bahauddin,National,1997
Winner,Kh. M. Asif,PML-N,64394,76,227050,83529,1396,37%,NA-85 Sialkot-I,National,1997
2,Mian M. Naeem-ur-Rehman,PPP,16126,19,227050,83529,1396,37%,NA-85 Sialkot-I,National,1997
3,Rana Nasrullah Khan,PTI,2085,2,227050,83529,1396,37%,NA-85 Sialkot-I,National,1997
4,Dr. Hafeez Chechhi,PPP-SB,501,1,227050,83529,1396,37%,NA-85 Sialkot-I,National,1997
5,Syed Munawar Hussain Babi,IND,232,0,227050,83529,1396,37%,NA-85 Sialkot-I,National,1997
6,Manzoor Illahi Malik,IND,191,0,227050,83529,1396,37%,NA-85 Sialkot-I,National,1997
Winner,Amir Hussain,PML-N,72370,60,269908,118063,2723,45%,NA-86 Sialkot-II,National,1997
2,Khush Akhtar Subhani,PML-J Chattha,37667,31,269908,118063,2723,45%,NA-86 Sialkot-II,National,1997
3,Khalid Javed,IND,4892,4,269908,118063,2723,45%,NA-86 Sialkot-II,National,1997
4,Ch. Abdul Majid Adv.,PTI,2691,2,269908,118063,2723,45%,NA-86 Sialkot-II,National,1997
5,Col. (R) Mushtaq Khan Khichi,IND,443,0,269908,118063,2723,45%,NA-86 Sialkot-II,National,1997
Winner,Syed Iftikhar-ul-Hassan Shah,PML-N,71321,58,270359,119010,3611,45%,NA-87 Sialkot-III,National,1997
2,Ijaz Ahmad Cheema,PPP,33061,27,270359,119010,3611,45%,NA-87 Sialkot-III,National,1997
3,Ch. Sadaqat Ali,IND,13025,11,270359,119010,3611,45%,NA-87 Sialkot-III,National,1997
4,Ch. M. Malik Ghumman (R),IND,1603,1,270359,119010,3611,45%,NA-87 Sialkot-III,National,1997
Winner,Ch. Sikandar Hayat Malhi,PML-N,66203,62,225385,104252,2695,47%,NA-88 Sialkot-IV,National,1997
2,Ch. Abdul Sattar,PML-J Chattha,32978,31,225385,104252,2695,47%,NA-88 Sialkot-IV,National,1997
3,M. Ahmad,IND,3357,3,225385,104252,2695,47%,NA-88 Sialkot-IV,National,1997
4,Ghulam Abbas (R),IND,1714,2,225385,104252,2695,47%,NA-88 Sialkot-IV,National,1997
Winner,Ch. M. Sarwar Khan,PML-N,59340,69,238822,83782,2271,36%,NA-89 Sialkot-cum-Narowal,National,1997
2,M. Akbar Kahloon,PPP,20413,24,238822,83782,2271,36%,NA-89 Sialkot-cum-Narowal,National,1997
3,M. Naseer Khan,IND,2458,3,238822,83782,2271,36%,NA-89 Sialkot-cum-Narowal,National,1997
4,Pervaiz Sarwar Anjum,PTI,637,1,238822,83782,2271,36%,NA-89 Sialkot-cum-Narowal,National,1997
5,Ch. Ghulam Ahmad Khan,IND,476,1,238822,83782,2271,36%,NA-89 Sialkot-cum-Narowal,National,1997
6,Ch. Tahir Sarwar,IND,311,0,238822,83782,2271,36%,NA-89 Sialkot-cum-Narowal,National,1997
7,Mansoor Sarwar,IND,147,0,238822,83782,2271,36%,NA-89 Sialkot-cum-Narowal,National,1997
Winner,Ahsan Iqbal,PML-N,59677,66,230507,88158,1621,39%,NA-90 Narowal-I,National,1997
2,Ch. Akhtar Ali,PML-J Chattha,25387,28,230507,88158,1621,39%,NA-90 Narowal-I,National,1997
3,Hamid Malhi,PTI,1740,2,230507,88158,1621,39%,NA-90 Narowal-I,National,1997
4,Ch. Anwar-ul-Haq,IND,1354,2,230507,88158,1621,39%,NA-90 Narowal-I,National,1997
Winner,Daniyal Aziz,IND,36940,41,221181,85211,3931,40%,NA-91 Narowal-II,National,1997
2,Ch. M. Rafiq,PML-N,30104,34,221181,85211,3931,40%,NA-91 Narowal-II,National,1997
3,M. Ishfaq Taj,IND,11305,13,221181,85211,3931,40%,NA-91 Narowal-II,National,1997
4,M. Khalid Ch.,PPP,5310,6,221181,85211,3931,40%,NA-91 Narowal-II,National,1997
5,Noor Ali Taj,PTI,794,1,221181,85211,3931,40%,NA-91 Narowal-II,National,1997
6,M. Afzal,IND,758,1,221181,85211,3931,40%,NA-91 Narowal-II,National,1997
Winner,Mian M. Azhar,PML-N,57220,78,246810,72610,977,30%,NA-92 Lahore-I,National,1997
2,Mian Mehmood Ahmad,PML-J Chattha,11914,16,246810,72610,977,30%,NA-92 Lahore-I,National,1997
3,Hasnain-al-Maki,PTI,2339,3,246810,72610,977,30%,NA-92 Lahore-I,National,1997
4,Mian M. Asif,IND,1018,1,246810,72610,977,30%,NA-92 Lahore-I,National,1997
5,Rana M. Haleem Khan,HPG,119,0,246810,72610,977,30%,NA-92 Lahore-I,National,1997
Winner,Mian Abdul Waheed,PML-N,63068,65,303553,96108,1004,32%,NA-93 Lahore-II,National,1997
2,Salman Taseer,PPP,27887,29,303553,96108,1004,32%,NA-93 Lahore-II,National,1997
3,Air Marshal ? Khurshid Anwar Mirza,PTI,3546,4,303553,96108,1004,32%,NA-93 Lahore-II,National,1997
4,Hameeduddin Mashraqi,KT,623,1,303553,96108,1004,32%,NA-93 Lahore-II,National,1997
5,Syed Asim Raza Sherazi,AQP,340,0,303553,96108,1004,32%,NA-93 Lahore-II,National,1997
6,Javed Amin Khan Nayyar,IND,245,0,303553,96108,1004,32%,NA-93 Lahore-II,National,1997
7,Sheikh Amjad Aziz,IND,182,0,303553,96108,1004,32%,NA-93 Lahore-II,National,1997
8,Maj. (R) Aftab Ahmad Lodhi,TI,159,0,303553,96108,1004,32%,NA-93 Lahore-II,National,1997
9,Inam Ali Bhatti,IND,58,0,303553,96108,1004,32%,NA-93 Lahore-II,National,1997
Winner,Tariq Aziz,PML-N,50227,67,223935,73869,706,33%,NA-94 Lahore-III,National,1997
2,Mian Misbah Rehman,PPP,17821,24,223935,73869,706,33%,NA-94 Lahore-III,National,1997
3,Imran Khan,PTI,4595,6,223935,73869,706,33%,NA-94 Lahore-III,National,1997
4,Mian Naveed Aziz,PPP-SB,435,1,223935,73869,706,33%,NA-94 Lahore-III,National,1997
5,Almas Haider Kazmi,HPG,312,0,223935,73869,706,33%,NA-94 Lahore-III,National,1997
6,Dr. Qari Ashfaqullah,PML-Q Shuja,186,0,223935,73869,706,33%,NA-94 Lahore-III,National,1997
7,Farooq Tariq,AI,179,0,223935,73869,706,33%,NA-94 Lahore-III,National,1997
8,Faisal Mehmood Khan Adv.,PDP,63,0,223935,73869,706,33%,NA-94 Lahore-III,National,1997
9,Haji M. Amjad Ch.,IND,51,0,223935,73869,706,33%,NA-94 Lahore-III,National,1997
Winner,Mian M. Nawaz Sharif,PML-N,50592,75,224625,66506,524,30%,NA-95 Lahore-IV,National,1997
2,Hafiz Ghulam Mohyuddin,PPP,9623,14,224625,66506,524,30%,NA-95 Lahore-IV,National,1997
3,Imran Khan,PTI,5365,8,224625,66506,524,30%,NA-95 Lahore-IV,National,1997
