Constituency,PTI,PML-N,PPPP,MMA,TLP,PML-Q,Ch.Nissar,ANP,IND,QWP,AML,PML-Z,Pakistan Awami Raj,Other parties
NA-153,42,46,0,0,0,0,0,0,0,0,0,0,0,12
NA-154,30,15,17,0,0,0,0,0,38,0,0,0,0,0
NA-155,56,40,0,0,0,0,0,0,0,0,0,0,0,4
NA-156,57,40,0,0,0,0,0,0,0,0,0,0,0,3
NA-157,35,24,20,0,0,0,0,0,0,0,0,0,0,21
NA-158,38,45,17,0,0,0,0,0,0,0,0,0,0,0
NA-159,46,43,0,0,0,0,0,0,0,0,0,0,0,11
NA-160,40,57,0,0,0,0,0,0,0,0,0,0,0,3
NA-161,45,46,0,0,0,0,0,0,0,0,0,0,0,9
NA-162,26,32,0,0,0,0,0,0,24,0,0,0,0,18
NA-163,42,39,0,0,0,0,0,0,0,0,0,0,0,19
NA-164,35,55,0,0,0,0,0,0,0,0,0,0,0,10
NA-165,46,45,0,0,0,0,0,0,0,0,0,0,0,9
NA-166,42,0,32,0,0,0,0,0,0,0,0,0,0,26
NA-167,38,38,0,0,0,0,0,0,0,0,0,0,0,24
NA-168,52,45,0,0,0,0,0,0,0,0,0,0,0,3
NA-169,0,40,0,0,0,0,0,0,0,0,0,57,0,20
NA-170,43,50,0,0,0,0,0,0,0,0,0,0,0,7
NA-171,39,35,0,0,0,0,0,0,0,0,0,0,0,26
NA-172,0,35,0,0,0,39,0,0,0,0,0,0,0,26
NA-173,44,42,0,0,0,0,0,0,0,0,0,0,0,14
NA-174,51,0,47,0,0,0,0,0,0,0,0,0,0,2
NA-175,38,32,0,0,0,0,0,0,0,0,0,0,0,25
NA-176,42,38,0,0,0,0,0,0,0,0,0,0,0,20
NA-177,57,40,0,0,0,0,0,0,0,0,0,0,0,3
NA-178,37,0,43,0,0,0,0,0,0,0,0,0,0,20
NA-179,53,26,0,0,0,0,0,0,0,0,0,0,0,21
NA-180,31,20,0,0,0,0,0,0,0,0,0,0,0,49
NA-181,38,0,0,0,0,0,0,0,40,0,0,0,0,32
NA-182,28,21,21,0,0,0,0,0,0,0,0,0,30,0
NA-183,43,0,28,0,0,0,0,0,0,0,0,0,0,29
NA-184,33,0,0,0,0,0,0,0,0,0,0,0,37,16
NA-185,40,0,0,0,0,0,0,0,39,0,0,0,0,21
NA-186,31,27,25,0,0,0,0,0,0,0,0,0,0,17
NA-187,39,35,0,0,0,0,0,0,0,0,0,0,0,26
NA-188,44,41,0,0,0,0,0,0,0,0,0,0,0,15
NA-189,41,41,0,0,0,0,0,0,0,0,0,0,0,18
NA-190,43,0,13,0,0,0,0,0,44,0,0,0,0,0
NA-191,71,18,0,0,0,0,0,0,0,0,0,0,0,11
NA-192,35,43,0,0,0,0,0,0,0,0,0,0,0,22
NA-193,49,0,0,0,0,0,0,0,37,0,0,0,0,14
NA-194,45,0,12,0,0,0,0,0,35,0,0,0,0,8
NA-195,41,42,0,0,0,0,0,0,0,0,0,0,0,17
